ID                      X    DX      Y    DY     VS   DVS     PA   DPA    INC  DINC     VC   DVC     RC   DRC    SIG  DSIG   CHI2   DOF MEANRESV  MEDRESV  STDRESV  MINRESV  MAXRESV MEANRESD  MEDRESD  STDRESD  MINRESD  MAXRESD    RLAST RLASTSYM 
CGr34_bs_103_o2      15.0   0.0   15.0   0.0    8.5   0.7 -127.0   1.5   62.0   0.0  106.9   4.3    4.4   0.4   -1.0  -1.0   1.83   119     -3.8     -3.4     14.2    -53.7     27.0     11.7      0.0     17.2      0.0     79.8      8.2      5.6  
CGr34_bs_123_o2      15.0   0.0   15.0   0.0    8.1   0.6  189.0   0.9   49.0   0.0  176.0   3.1    5.2   0.2   -1.0  -1.0   3.57   143     -5.9     -4.0     17.1    -61.9     36.5     22.3     24.5     17.7      0.0     63.5      9.7      8.5  
CGr34_bs_144_o2      15.0   0.0   15.0   0.0  -31.4   3.5   83.0   7.9   74.0   0.0  359.3  45.7   15.5   0.0   -1.0  -1.0   0.82    38     -0.7     -0.4     16.8    -52.2     33.1     38.6     34.4     35.9      0.0    128.0      4.2      3.1  
CGr34_bs_154_o2      18.0   0.0   15.0   0.0  -24.3   0.3   24.5   0.9   62.0   0.0  196.9   4.2    7.5   0.2   -1.0  -1.0   3.22   122      0.2      0.3     12.8    -40.4     38.0     53.2     50.2     16.3     29.1    189.6     10.3      6.6  
CGr34_bs_155_o2      15.0   0.0   15.0   0.0   -2.2   0.3 -116.7   0.3   61.0   0.0  197.2   1.7    2.9   0.1   -1.0  -1.0  11.44   218      5.0      3.4     22.6    -60.7     69.6     72.5     68.1     26.3      0.0    175.8      8.5      7.2  
CGr34_bs_17_o2       15.0   0.0   15.0   0.0   69.9   1.6  266.6   3.5   38.0   0.0  172.2  99.4    3.8   2.5   -1.0  -1.0   2.29    37      7.9      3.7     16.4    -12.1     65.9     25.2     22.7     21.5      0.0     89.8      3.1      3.1  
CGr34_bs_25_o2       15.0   0.0   15.0   0.0  -15.5   1.0   90.2   0.8   70.0   0.0  194.1   2.8    3.0   0.3   -1.0  -1.0   3.74   105      0.2     -3.1     17.8    -42.4     61.5     20.2     10.6     24.2      0.0     93.2      8.0      7.0  
CGr34_bs_50_o2       15.0   0.0   15.0   0.0    1.4   0.5   86.6   1.1   34.0   0.0   90.9   1.8    2.0   0.6   -1.0  -1.0   1.58   160     -1.1      0.1     13.6    -61.1     30.3     24.9     27.3     14.6      0.0     73.9      8.3      8.0  
CGr34_bs_90_o2       15.0   0.0   15.0   0.0   37.0   1.1  -80.1   5.6   59.0   0.0  115.5 110.3    7.9   7.8   -1.0  -1.0   0.64    72     -0.2     -0.3      9.2    -22.1     25.0      4.6      0.0     10.0      0.0     42.5      5.9      5.3  
