  ID  ID_LAIGLE        z  flag          ra       dec        Iab 
  25     780855  0.71709     3  149.863407  2.484351  22.781040 
  50     782919  0.51362     3  149.850520  2.487564  22.453669 
  90     785834  0.30603     3  149.854681  2.491992  22.653734 
 103     786547  0.34810     3  149.854999  2.493693  23.099958 
 123     787770  1.00646     3  149.851854  2.495305  23.591694 
 144     789461  0.32107     3  149.858126  2.498664  24.119455 
 154     790811  1.30527     3  149.860979  2.498239  22.037531 
 155     791266  1.02662     3  149.861675  2.498547  22.063049 
  17     779773  1.02596     3  149.864049  2.483184  24.988853 
