  ID  ID_LAIGLE        z  flag          ra       dec        Iab 
  59     505788  0.82648     2  150.484981  2.069646  24.097094 
  87     507656  1.33303     2  150.487155  2.072242  23.528051 
 133     512268  1.33293     2  150.497449  2.077272  22.426474 
 136     513559  1.18830     2  150.490007  2.078980  23.475224 
   5     500048  0.53251     3  150.493682  2.064048  19.700872 
  31     503336  0.56164     3  150.486151  2.065905  24.112125 
  41     504694  0.53100     3  150.495134  2.065942  22.603090 
  71     506823  0.96708     3  150.497121  2.070037  22.719837 
 102     508437  0.55358     3  150.483790  2.071252  21.360291 
 128     510746  0.42532     3  150.495704  2.076627  23.660992 
