#       ID        X        Y       PA      INC      vs     vm     d   sig  psfx   psfz  smooth
CGr79_deep_41_o2   15.0   15.0   -30.0   61   0.0   80   2.0   0   2.927   49.6   2
CGr79_deep_42_o2   15.0   15.0   -30.0   56   0.0   80   2.0   0   2.218   35.6   2
CGr79_deep_51_o2   15.0   15.0   -30.0   66   0.0   80   2.0   0   2.763   44.2   2
CGr79_deep_80_o2   15.0   15.0   -30.0   30   0.0   80   2.0   0   2.932   49.9   2
CGr79_deep_112_o2   15.0   15.0   -30.0   64   0.0   80   2.0   0   3.243   66.7   2
CGr79_deep_114_o2   15.0   15.0   79.2   48   0.0   80   2.0   0   3.007   53.0   2
CGr79_deep_120_o2   15.0   15.0   -30.0   71   0.0   80   2.0   0   2.779   44.7   2
CGr79_deep_69_o2   15.0   15.0   -30.0   53   0.0   80   2.0   0   3.007   53.1   2
