#       ID        X        Y       PA      INC      vs     vm     d   sig  psfx   psfz  smooth
CGr26_59_o2   15.0   15.0   -30.0   34   0.0   80   2.0   0   3.414   46.8   2
CGr26_87_o2   15.0   15.0   -30.0   76   0.0   80   2.0   0   3.065   36.6   2
CGr26_136_o2   15.0   15.0   -30.0   24   0.0   80   2.0   0   3.164   38.4   2
CGr26_5_o2   15.0   15.0   -35.0   41   0.0   80   2.0   0   3.616   60.1   2
CGr26_31_o2   15.0   15.0   -30.0   68   0.0   80   2.0   0   3.596   58.5   2
CGr26_41_o2   15.0   15.0   -30.0   55   0.0   80   2.0   0   3.617   60.2   2
CGr26_71_o2   15.0   15.0   -30.0   43   0.0   80   2.0   0   3.317   42.7   2
CGr26_102_o2   15.0   15.0   72.0   54   0.0   80   2.0   0   3.602   58.9   2
CGr26_128_o2   15.0   15.0   -30.0   55   0.0   80   2.0   0   3.69   67.2   2
