  ID  ID_LAIGLE        z  flag          ra       dec        Iab 
  18     628424  0.37964     3  150.006272  2.253330  21.667969 
  21     628636  0.34542     3  149.992574  2.252479  23.621355 
  23     628677  0.83942     3  150.006706  2.253204  21.654572 
  56     630988  1.13527     3  150.001206  2.258035  23.833469 
  79     633034  0.42343     3  149.995257  2.256193  21.692488 
  86     633493  0.80311     3  149.991408  2.259869  22.533602 
  93     633692  1.40629     3  149.998245  2.258393  22.514099 
  99     634146  0.42339     3  150.003661  2.261546  22.085966 
 104     634637  0.53922     2  150.000812  2.262599  22.758558 
 105     634684  0.66610     3  149.997955  2.262225  22.142467 
 124     636785  0.60421     3  149.998328  2.266781  23.953691 
  20     628528  0.84741     3  150.005099  2.254650  24.756811 
  41     629866  0.73028     2  149.992758  2.256667  25.473970 
  46     630315  0.92405     2  150.003605  2.257134  24.900213 
  51     630560  1.40010     3  149.991308  2.258197  26.105911 
  72     632662  1.01896     2  149.995035  2.260546  24.238256 
  78     632929  0.31125     2  150.000167  2.261076  24.346676 
  80     633102  1.46070     3  149.996975  2.259602  24.372066 
  94     633779  0.34063     3  149.999665  2.262262  24.259087 
 102     634342  0.53696     3  149.996660  2.263335  24.434710 
