  ID  ID_LAIGLE        z  flag          ra       dec        Iab 
   4     338457  0.71808     3  150.219267  1.802741  22.588026 
   5     338472  0.87381     3  150.220842  1.803332  23.348804 
  15     339311  1.18142     2  150.229911  1.805777  24.454084 
  37     340645  0.89359     3  150.220299  1.806294  22.805513 
  44     341041  0.36256     3  150.224992  1.805129  21.309629 
  55     341748  0.89402     3  150.220866  1.807691  23.602749 
  59     341961  0.73747     3  150.221628  1.808249  22.978037 
  57     341783  1.04103     2  150.230889  1.809360  24.626476 
  83     343832  0.71886     3  150.223038  1.812294  24.737791 
