#       ID        X        Y       PA      INC      vs     vm     d   sig  psfx   psfz  smooth
CGr34_mdeep_25_o2   15.0   15.0   -30.0   70   0.0   80   2.0   0   3.379   50.9   2
CGr34_mdeep_50_o2   15.0   15.0   -76.0   34   0.0   80   2.0   0   3.48   61.3   2
CGr34_mdeep_90_o2   15.0   15.0   -30.0   59   0.0   80   2.0   0   3.583   77.0   2
CGr34_mdeep_103_o2   15.0   15.0   -30.0   62   0.0   80   2.0   0   3.562   73.3   2
CGr34_mdeep_123_o2   15.0   15.0   -30.0   49   0.0   80   2.0   0   3.236   41.8   2
CGr34_mdeep_144_o2   15.0   15.0   -30.0   74   0.0   80   2.0   0   3.575   75.6   2
CGr34_mdeep_154_o2   15.0   15.0   -22.2   62   0.0   80   2.0   0   3.088   36.9   2
CGr34_mdeep_155_o2   15.0   15.0   -44.0   61   0.0   80   2.0   0   3.226   41.3   2
CGr34_mdeep_17_o2   15.0   15.0   -30.0   38   0.0   80   2.0   0   3.227   41.3   2
