ID                      X    DX      Y    DY     VS   DVS     PA   DPA    INC  DINC     VC   DVC     RC   DRC    SIG  DSIG   CHI2   DOF MEANRESV  MEDRESV  STDRESV  MINRESV  MAXRESV MEANRESD  MEDRESD  STDRESD  MINRESD  MAXRESD    RLAST RLASTSYM 
CGr26_102_o2         15.0   0.0   15.0   0.0   -6.4   0.9  270.0   0.0   54.0   0.0  182.0   2.1    1.0   0.0   -1.0  -1.0   3.83    98      1.0     -2.0     21.2    -40.8     65.1     20.3      1.3     27.8      0.0    127.2      7.0      6.0  
CGr26_128_o2         15.0   0.0   15.0   0.0  -15.9   5.3  -13.3  20.5   55.0   0.0   98.1  32.0    3.1   1.7   -1.0  -1.0   0.78    31      0.1      1.8     20.0    -36.9     41.6     20.2      0.0     29.9      0.0    110.5      8.7      4.4  
CGr26_136_o2         15.0   0.0   15.0   0.0  -30.2   1.3  -17.1   3.0   24.0   0.0  164.3  20.6    1.8   1.2   -1.0  -1.0   0.99    47     -1.4     -0.8     10.9    -39.4     26.9     31.4     31.5     21.0      0.0     92.9      4.4      3.5  
CGr26_31_o2          15.0   0.0   15.0   0.0  -60.9   4.9   50.3   4.5   68.0   0.0  117.5  10.1    1.0   0.0   -1.0  -1.0   1.20    30     -3.4     -1.2     16.6    -46.8     23.1     10.9      0.0     16.2      0.0     49.8      5.0      2.2  
CGr26_41_o2          15.0   0.0   15.0   0.0  -47.1   4.0  139.9   8.5   55.0   0.0  315.0 1318302800.0    9.0 37646484.0   -1.0  -1.0   0.59    29      2.1     -0.4     14.6    -20.2     43.6     44.7     37.1     34.2      0.0    122.9      3.7      2.8  
CGr26_59_o2          16.0   0.0   15.0   0.0    1.8   1.5   28.3   6.3   34.0   0.0  169.8 1310572200.0    8.0 62040796.0   -1.0  -1.0   0.60    49     -0.5      0.1      8.4    -18.9     23.0     24.6     26.4     18.7      0.0     61.5      4.5      4.0  
CGr26_5_o2           15.0   0.0   15.0   0.0  -64.8   1.2   45.7   0.8   41.0   0.0  300.2   2.9    1.0   0.0   -1.0  -1.0   3.66   151     -0.5     -2.2     33.4    -88.2     94.3     51.6     42.8     48.0      0.0    177.9      9.9      7.1  
CGr26_71_o2          15.0   0.0   15.0   0.0  -13.9   0.6  100.8   0.7   43.0   0.0  166.4   3.4    2.1   0.4   -1.0  -1.0   1.94   118     -3.3     -2.6     12.8    -52.8     27.4     30.8     34.3     20.6      0.0     86.5      6.1      5.7  
CGr26_87_o2          15.0   0.0   15.0   0.0  -16.5   1.3   75.9   0.4   76.0   0.0  308.2   1.8    5.1   0.2   -1.0  -1.0  15.03   116     -4.8     -6.2     39.2   -112.3    226.3     20.8      0.0     30.5      0.0    136.1     10.7      9.9  
