ID                      X    DX      Y    DY     VS   DVS     PA   DPA    INC  DINC     VC   DVC     RC   DRC    SIG  DSIG   CHI2   DOF MEANRESV  MEDRESV  STDRESV  MINRESV  MAXRESV MEANRESD  MEDRESD  STDRESD  MINRESD  MAXRESD    RLAST RLASTSYM 
CGr34_mdeep_103_o2   15.0   0.0   15.0   0.0    7.2   0.7  234.5   1.4   62.0   0.0  102.1   3.9    4.1   0.4   -1.0  -1.0   1.68   117     -3.1     -2.3     13.1    -47.9     25.2     10.0      0.0     14.2      0.0     61.1      7.6      5.6  
CGr34_mdeep_123_o2   15.0   0.0   15.0   0.0    8.3   0.6 -171.0   0.8   49.0   0.0  173.1   2.9    5.0   0.2   -1.0  -1.0   3.15   143     -4.7     -2.3     15.6    -57.4     36.0     23.9     25.5     16.9      0.0     57.2      9.7      8.5  
CGr34_mdeep_144_o2   15.0   0.0   15.0   0.0  -23.3   3.4   84.0   9.5   74.0   0.0  259.4 14939.9   15.0 865.8   -1.0  -1.0   1.05    39     -2.5      0.1     18.0    -65.3     27.9     39.1     42.6     34.1      0.0    124.4      4.2      3.1  
CGr34_mdeep_154_o2   18.0   0.0   16.0   0.0   -3.5   0.4   24.0   0.8   62.0   0.0  212.6   3.2    8.2   0.2   -1.0  -1.0   3.55   128     -0.4     -0.0     12.4    -43.1     26.7     52.0     50.7     10.6     23.3    112.3     11.7      6.2  
CGr34_mdeep_155_o2   15.0   0.0   15.0   0.0   -1.8   0.3 -116.3   0.3   61.0   0.0  194.1   1.6    2.9   0.1   -1.0  -1.0  11.97   218      3.7      3.9     25.6    -95.5     82.8     74.1     71.3     24.1      0.0    173.2      9.0      6.7  
CGr34_mdeep_17_o2    15.0   0.0   15.0   0.0   73.9   1.7  264.1   4.6   38.0   0.0  158.3 113.6    4.1   3.3   -1.0  -1.0   2.27    39      9.7      4.8     18.2    -12.9     71.5     35.8     33.8     23.4      0.0    135.3      4.0      4.0  
CGr34_mdeep_25_o2    15.0   0.0   15.0   0.0  -13.3   1.0   91.9   0.7   70.0   0.0  193.2   2.7    3.2   0.3   -1.0  -1.0   4.04   114      0.9     -2.4     23.7    -93.6    104.5     24.7     18.9     26.4      0.0     88.6      8.1      7.1  
CGr34_mdeep_50_o2    15.0   0.0   15.0   0.0   -1.5   0.4   85.4   1.0   34.0   0.0   88.2   1.2    1.0   0.0   -1.0  -1.0   1.31   171      0.1      0.3     14.1    -78.8     65.5     20.3     20.3     17.9      0.0    151.3      8.5      8.1  
CGr34_mdeep_90_o2    15.0   0.0   15.0   0.0   37.6   1.1  -83.4   5.7   59.0   0.0   84.4  32.2    5.8   2.6   -1.0  -1.0   0.79    75      0.5     -0.4     11.0    -40.1     31.9      5.8      0.0     10.6      0.0     43.2      6.0      5.2  
