  ID  ID_LAIGLE        z  flag          ra       dec        Iab 
  45     500373  1.21052     3  150.133633  2.061208  23.942366 
  67     501554  0.38144     3  150.149269  2.059051  20.762651 
  77     501783  0.47804     3  150.149515  2.062066  22.413731 
  79     502067  0.82787     3  150.149421  2.063353  23.474251 
  91     502909  0.68165     3  150.149927  2.064087  22.160032 
 108     503471  1.18980     3  150.150050  2.065176  23.450253 
 146     506172  1.14418     3  150.147503  2.069386  23.200130 
 148     506289  0.37288     3  150.134239  2.068416  21.604362 
 154     506693  1.21630     3  150.150015  2.070286  23.229486 
  27     499405  1.36127     3  150.146790  2.059459  24.223141 
 139     505546  0.70124     3  150.138025  2.068375  23.686424 
