  ID  ID_LAIGLE        z  flag          ra       dec        Iab 
   7     405764  1.17200     2  149.727386  1.909953  23.935602 
  12     406143  0.33922     3  149.727827  1.909895  23.345293 
  25     408035  0.32870     3  149.725431  1.910835  20.787758 
  39     409283  0.43196     3  149.725672  1.913315  22.051537 
  87     412776  1.16335     3  149.719176  1.918883  22.580128 
 102     413386  0.46507     3  149.718936  1.921161  23.319101 
 117     414597  0.59882     3  149.722787  1.922717  23.536238 
 134     416326  0.31196     3  149.723551  1.924831  22.669386 
  79     412187  0.88315     2  149.723246  1.919462  24.637810 
