#       ID        X        Y       PA      INC      vs     vm     d   sig  psfx   psfz  smooth
CGr23_13_o2   15.0   15.0   -95.9   52   0.0   80   2.0   0   4.452   52.7   2
CGr23_19_o2   15.0   15.0   -30.0   59   0.0   80   2.0   0   4.178   43.1   2
CGr23_25_o2   15.0   15.0   90.0   57   0.0   80   2.0   0   4.452   52.7   2
CGr23_30_o2   15.0   15.0   -11.6   58   0.0   80   2.0   0   4.453   52.7   2
CGr23_90_o2   15.0   15.0   -30.0   60   0.0   80   2.0   0   4.748   70.7   2
CGr23_94_o2   15.0   15.0   -30.0   52   0.0   80   2.0   0   4.19   43.4   2
CGr23_120_o2   15.0   15.0   -30.0   38   0.0   80   2.0   0   3.974   38.8   2
CGr23_110_o2   15.0   15.0   -30.0   70   0.0   80   2.0   0   4.399   50.4   2
