  ID  ID_LAIGLE        z  flag          ra       dec        Iab 
  13     566017  0.67704     3  149.794979  2.160478  21.758659 
  19     566533  0.95280     2  149.790139  2.161684  23.545641 
  25     567278  0.67700     3  149.799619  2.160845  21.376032 
  30     568000  0.67618     3  149.799809  2.161946  21.519266 
  90     574132  0.37931     3  149.794970  2.169441  22.947369 
  94     574322  0.94121     2  149.798011  2.173303  24.271889 
 113     575790  0.95718     2  149.784583  2.172375  21.690762 
 120     576121  1.15876     3  149.787746  2.175677  23.159794 
 110     575509  0.73059     2  149.787528  2.172789  23.648663 
