ID                      X    DX      Y    DY     VS   DVS     PA   DPA    INC  DINC     VC   DVC     RC   DRC    SIG  DSIG   CHI2   DOF MEANRESV  MEDRESV  STDRESV  MINRESV  MAXRESV MEANRESD  MEDRESD  STDRESD  MINRESD  MAXRESD    RLAST RLASTSYM 
CGr61_102_o2         15.0   0.0   15.0   0.0    3.4   3.0  -81.7  21.0   62.0   0.0  115.6 1599752200.0   15.5 214465790.0   -1.0  -1.0   0.89    38     -3.7     -0.7     12.6    -40.3     20.1     11.4      0.0     15.7      0.0     55.5      5.4      3.0  
CGr61_117_o2         15.0   0.0   15.0   0.0    7.5   1.6   55.9   4.8   55.0   0.0  193.9 400.3    7.2  14.8   -1.0  -1.0   0.68    55     -2.7     -1.8      9.9    -31.0     16.4     14.9      7.8     16.6      0.0     49.0      4.4      4.4  
CGr61_12_o2          15.0   0.0   15.0   0.0   -4.8   2.6  152.9  19.5   64.0   0.0   31.1   8.7    1.0   0.0   -1.0  -1.0   1.65    44      2.7      2.2     25.0    -55.2     62.5     37.4     38.4     26.7      0.0    131.5      5.3      3.6  
CGr61_134_o2         15.0   0.0   15.0   0.0   73.0  64.8  -21.0  55.6   70.0   0.0  239.9 244.2    5.4  13.1   -1.0  -1.0   2.28    21     -0.8     -1.5     31.9    -51.6    107.3     12.7      0.0     22.7      0.0     77.8      5.0      1.5  
CGr61_25_o2          15.0   0.0   15.0   0.0    3.2   0.7   58.9   2.1   35.0   0.0   82.5   1.9    1.0   0.0   -1.0  -1.0   1.20   191      1.3      0.9     16.8    -53.0     71.8     22.8     16.5     27.0      0.0    108.8      9.4      9.1  
CGr61_39_o2          15.0   0.0   15.0   0.0  -23.3   1.0   37.4   1.6   38.0   0.0  105.1   2.7    1.0   0.0   -1.0  -1.0   0.99    98      1.4      0.8     10.0    -18.0     44.6     21.1     16.0     28.3      0.0    151.7      6.2      5.2  
CGr61_79_o2          15.0   0.0   15.0   0.0   27.4   6.5  255.9  13.0   63.0   0.0  670.7 2535491600.0   15.2 57581628.0   -1.0  -1.0   0.41    24     -1.6      2.0     11.7    -41.9     17.6     22.7     24.0     20.4      0.0     58.4      4.1      3.4  
CGr61_7_o2           15.0   0.0   15.0   0.0  -17.8   1.2  -77.9   1.3   72.0   0.0  171.4   5.7    3.0   0.4   -1.0  -1.0   4.59    61      2.7      0.3     17.2    -31.7     47.9     24.6     21.1     25.6      0.0     79.4      5.3      5.1  
CGr61_87_o2          15.0   0.0   15.0   0.0  -62.6   1.2  -42.8   1.1   30.0   0.0  238.1   4.0    0.9  -0.0   -1.0  -1.0   2.69    81     -4.5     -3.3     17.7    -53.7     24.9     40.6     40.1     23.3      0.0    107.2      6.4      4.9  
