#       ID        X        Y       PA      INC      vs     vm     d   sig  psfx   psfz  smooth
CGr28_4_o2   15.0   15.0   -30.0   65   0.0   80   2.0   0   3.197   50.9   2
CGr28_5_o2   15.0   15.0   -30.0   33   0.0   80   2.0   0   3.186   45.3   2
CGr28_15_o2   15.0   15.0   -30.0   59   0.0   80   2.0   0   3.163   38.5   2
CGr28_37_o2   15.0   15.0   -30.0   46   0.0   80   2.0   0   3.184   44.7   2
CGr28_44_o2   15.0   15.0   9.2   58   0.0   80   2.0   0   3.224   72.1   2
CGr28_55_o2   15.0   15.0   -30.0   19   0.0   80   2.0   0   3.184   44.7   2
CGr28_59_o2   15.0   15.0   -30.0   51   0.0   80   2.0   0   3.196   50.1   2
CGr28_83_o2   15.0   15.0   -30.0   34   0.0   80   2.0   0   3.197   50.9   2
