ID                      X    DX      Y    DY     VS   DVS     PA   DPA    INC  DINC     VC   DVC     RC   DRC    SIG  DSIG   CHI2   DOF MEANRESV  MEDRESV  STDRESV  MINRESV  MAXRESV MEANRESD  MEDRESD  STDRESD  MINRESD  MAXRESD    RLAST RLASTSYM 
CGr23_110_o2         15.0   0.0   15.0   0.0   51.4   3.0   36.5   7.6   70.0   0.0  113.7   6.3    1.0   0.0   -1.0  -1.0   0.86    31     -1.2      0.2     15.2    -32.7     30.0     17.7     19.1     18.9      0.0     66.8      5.8      4.4  
CGr23_120_o2         15.0   0.0   15.0   0.0   46.7   0.8  122.3   0.9   38.0   0.0  156.6   1.6    1.0   0.0   -1.0  -1.0   4.40   109      0.5      0.4     11.8    -32.6     29.2     27.5     31.2     15.1      0.0     61.0      7.7      5.8  
CGr23_13_o2          15.0   0.0   15.0   0.0   11.3   0.4 -104.2   1.7   52.0   0.0   54.9   1.4    1.0  -0.0   -1.0  -1.0   2.41   124     -0.7     -0.2     18.7   -122.5     92.4     48.3     50.3     21.9      0.0    198.1      8.2      5.3  
CGr23_19_o2          15.0   0.0   15.0   0.0    5.9   1.3    9.0  18.2   59.0   0.0   43.4 198796000.0   11.7 53451844.0   -1.0  -1.0   0.66    72      1.0     -0.0      6.9    -16.0     19.4     26.5     27.9     14.3      0.0     70.9      6.2      5.1  
CGr23_25_o2          15.0   0.0   15.0   0.0   21.2   0.6  235.3   0.7   57.0   0.0  379.4   6.4   15.5  -0.0   -1.0  -1.0   2.97   163     -3.6     -2.2     21.6   -150.0     47.2     41.4     40.3     26.0      0.0    204.5      8.1      7.8  
CGr23_30_o2          15.0   0.0   15.0   0.0   34.0   0.7  165.0   0.6   58.0   0.0  189.0   1.5    1.0   0.0   -1.0  -1.0   4.22   171      6.3      2.3     23.7    -37.9     86.9     29.3     28.1     28.0      0.0    164.3     10.2      8.7  
CGr23_90_o2          15.0   0.0   15.0   0.0   26.9   6.1   11.6  20.5   60.0   0.0   79.6 186.6    6.6  18.3   -1.0  -1.0   0.44    49     -0.3     -1.8      9.4    -15.5     30.4      6.3      0.0     15.3      0.0     81.8      6.3      2.5  
CGr23_94_o2          15.0   0.0   15.0   0.0   39.1   4.3  -38.6   4.5   52.0   0.0  262.2  22.0    4.1   0.7   -1.0  -1.0   0.85    37      2.6      0.0     13.9    -38.2     37.2      4.5      0.0     18.3      0.0    110.9      5.8      2.2  
