#       ID        X        Y       PA      INC      vs     vm     d   sig  psfx   psfz  smooth
CGr61_7_o2   15.0   15.0   -30.0   72   0.0   80   2.0   0   2.921   38.6   2
CGr61_12_o2   15.0   15.0   -30.0   64   0.0   80   2.0   0   3.945   74.0   2
CGr61_25_o2   15.0   15.0   -57.0   35   0.0   80   2.0   0   3.958   74.9   2
CGr61_39_o2   15.0   15.0   -8.3   38   0.0   80   2.0   0   3.831   66.7   2
CGr61_87_o2   15.0   15.0   41.8   30   0.0   80   2.0   0   2.932   38.7   2
CGr61_102_o2   15.0   15.0   -30.0   62   0.0   80   2.0   0   3.791   64.4   2
CGr61_117_o2   15.0   15.0   -30.0   55   0.0   80   2.0   0   3.626   56.4   2
CGr61_134_o2   15.0   15.0   -30.0   70   0.0   80   2.0   0   3.979   76.4   2
CGr61_79_o2   15.0   15.0   -30.0   63   0.0   80   2.0   0   3.276   45.0   2
