  ID  ID_LAIGLE        z  flag          ra       dec        Iab 
  41     348094  0.74891     3  149.817938  1.815967  22.266420 
  42     348107  1.45757     3  149.818383  1.817718  22.692894 
  51     348773  0.91241     3  149.815434  1.819123  23.442358 
  80     350760  0.74319     3  149.811586  1.821587  22.592293 
 112     353684  0.43275     3  149.823080  1.826422  23.200552 
 114     353756  0.66845     3  149.818485  1.824933  20.735125 
 120     354094  0.89617     3  149.816874  1.826891  22.675690 
  69     350017  0.66807     3  149.822925  1.822390  24.847313 
