  ID  ID_LAIGLE        z  flag          ra       dec        Iab 
 213     851274  0.66824     3  150.054248  2.588827  19.848511 
 220     851662  0.66525     3  150.046580  2.591359  23.282400 
 226     852352  0.34702     3  150.050334  2.594133  19.546944 
 228     852382  0.34726     3  150.047327  2.591497  22.191280 
 235     853157  0.50608     3  150.046560  2.592902  22.002094 
 239     853384  0.73091     3  150.048774  2.592175  21.453339 
 272     855714  0.62868     3  150.045303  2.597705  23.353016 
 300     857301  1.27158     3  150.045166  2.600240  23.752254 
 307     858118  0.89061     3  150.042096  2.601466  22.976294 
 309     858396  0.47614     3  150.057924  2.602066  23.489212 
 313     858814  0.47140     3  150.044695  2.602688  22.811104 
 318     859351  0.37506     3  150.048062  2.604448  24.022501 
 324     859897  0.74668     3  150.047180  2.603989  23.729822 
 327     860381  0.50392     3  150.053925  2.603269  21.618876 
 202     849487  1.10135     3  150.046796  2.588657  24.204632 
 279     856063  0.44434     3  150.056046  2.597985  23.386635 
 286     856527  0.89561     3  150.047957  2.598556  23.450325 
 292     856787  1.04370     3  150.052886  2.600054  24.080336 
 308     858373  1.27107     3  150.058723  2.602862  24.871679 
 317     859276  1.12333     2  150.057410  2.604318  24.708324 
