ID                      X    DX      Y    DY     VS   DVS     PA   DPA    INC  DINC     VC   DVC     RC   DRC    SIG  DSIG   CHI2   DOF MEANRESV  MEDRESV  STDRESV  MINRESV  MAXRESV MEANRESD  MEDRESD  STDRESD  MINRESD  MAXRESD    RLAST RLASTSYM 
CGr79_deep_112_o2    15.0   0.0   15.0   0.0  -23.0   1.3   18.5   2.2   64.0   0.0   98.9   5.3    2.6   0.7   -1.0  -1.0   0.85    69      1.9      0.8     11.3    -27.3     39.9     16.1     11.5     18.4      0.0     69.5      5.7      4.4  
CGr79_deep_114_o2    15.0   0.0   15.0   0.0  -19.4   0.6   94.8   0.4   48.0   0.0  328.5   4.7    9.4   0.2   -1.0  -1.0  33.56   222      2.9      6.0     30.6    -84.6     76.3     29.0     26.0     24.0      0.0     99.4     10.3      9.0  
CGr79_deep_120_o2    15.0   0.0   15.0   0.0  -48.3   0.5   22.3   0.4   71.0   0.0  192.5   1.7    2.6   0.2   -1.0  -1.0   4.91   122     10.1      5.9     24.6    -51.0     84.6     47.1     51.2     27.2      0.0    119.4      7.2      6.9  
CGr79_deep_41_o2     15.0   0.0   15.0   0.0   24.4   0.5   42.7   0.5   61.0   0.0  158.0   1.4    3.4   0.1   -1.0  -1.0   9.12   143     -4.1     -4.8     16.6    -56.7     35.1     35.2     37.6     24.7      0.0     97.8      8.5      7.8  
CGr79_deep_42_o2     15.0   0.0   15.0   0.0  -24.9   0.7  167.2   0.5   56.0   0.0  113.7   1.2    0.8   0.0   -1.0  -1.0  15.16    99     -2.8      1.4     22.7    -63.6     44.9     42.2     38.1     21.8      0.0    108.8      7.0      5.1  
CGr79_deep_51_o2     15.0   0.0   15.0   0.0   -8.5   0.4  -27.6   0.7   66.0   0.0  124.7   1.1    3.7   0.1   -1.0  -1.0  12.04   116      4.3      7.3     13.0    -29.5     35.4     34.5     33.6     12.3      0.0     71.6      9.4      7.6  
CGr79_deep_69_o2     15.0   0.0   15.0   0.0  -13.6   1.5   37.8   9.7   53.0   0.0  165.6 1172952300.0   15.5 109783740.0   -1.0  -1.0   0.23    40     -0.3     -0.1      4.5    -15.6      8.6     19.9     15.1     16.9      0.0     55.7      4.2      3.0  
CGr79_deep_80_o2     15.0   0.0   15.0   0.0  -43.2   1.2    8.3   1.2   30.0   0.0  186.0   4.7    3.0   0.2   -1.0  -1.0   2.58    83      4.8      3.5     12.9    -22.2     50.9     28.4     32.8     18.5      0.0     70.3      7.1      3.8  
